Date,Open,High,Low,Close,Adj Close,Volume,Symbol
"Nov 01, 2016",124.98,125.83,110.68,117.00,117.00,"147,513,000",NETFLIX
"Oct 01, 2016",98.00,129.29,97.63,124.87,124.87,"274,097,800",NETFLIX
"Sep 01, 2016",97.81,100.35,93.26,98.55,98.55,"169,670,600",NETFLIX
"Aug 01, 2016",91.23,98.85,90.50,97.45,97.45,"182,611,000",NETFLIX
"Jul 01, 2016",95.00,101.27,84.50,91.25,91.25,"320,138,000",NETFLIX
"Jun 01, 2016",101.50,102.15,84.81,91.48,91.48,"218,216,500",NETFLIX
"May 01, 2016",90.41,104.00,85.74,102.57,102.57,"264,997,900",NETFLIX
"Apr 01, 2016",102.93,111.85,88.21,90.03,90.03,"340,174,300",NETFLIX
"Mar 01, 2016",94.58,104.91,93.61,102.23,102.23,"311,333,700",NETFLIX
"Feb 01, 2016",91.79,97.48,79.95,93.41,93.41,"389,268,900",NETFLIX
"Jan 01, 2016",109.00,122.18,90.11,91.84,91.84,"488,193,200",NETFLIX
"Dec 01, 2015",124.47,133.27,113.85,114.38,114.38,"319,939,200",NETFLIX
"Nov 01, 2015",109.20,126.60,101.86,123.33,123.33,"320,321,800",NETFLIX
"Oct 01, 2015",102.91,115.83,96.26,108.38,108.38,"446,204,400",NETFLIX
"Sep 01, 2015",109.35,111.24,93.55,103.26,103.26,"497,401,200",NETFLIX
